INPUT:
start: 2010-01-01
factor: ['pb']
weightType: 1
factor_direction: [1]
end: 2011 -01-01
n: 10
path: D:\strategy\GDP\GD.db
hedgemethod: 1
industry_neutral: 0
backperiod: 20
positionType: 2

OUTPUT:
	time	stkcd	weight
9	2010-03-17	600816	0.11151721621215338
0	2010-03-18	600251	0.07991761168089172
1	2010-03-18	000568	0.08789971781297116
2	2010-03-18	600875	0.08147334324291915
3	2010-03-18	002038	0.10122791346471674
4	2010-03-18	600161	0.09855929031833673
5	2010-03-18	601099	0.09544665592196223
6	2010-03-18	600547	0.12739545878389558
7	2010-03-18	600812	0.11488953215236274
8	2010-03-18	002007	0.1016732604097906
9	2010-03-18	600816	0.11151721621215338
0	2010-03-19	600251	0.07991761168089172
1	2010-03-19	000568	0.08789971781297116
2	2010-03-19	600875	0.08147334324291915
3	2010-03-19	002038	0.10122791346471674
4	2010-03-19	600161	0.09855929031833673
5	2010-03-19	601099	0.09544665592196223
6	2010-03-19	600547	0.12739545878389558
7	2010-03-19	600812	0.11488953215236274
8	2010-03-19	002007	0.1016732604097906
9	2010-03-19	600816	0.11151721621215338
0	2010-03-22	600251	0.07991761168089172
1	2010-03-22	000568	0.08789971781297116
2	2010-03-22	600875	0.08147334324291915
3	2010-03-22	002038	0.10122791346471674
4	2010-03-22	600161	0.09855929031833673
5	2010-03-22	601099	0.09544665592196223
6	2010-03-22	600547	0.12739545878389558
7	2010-03-22	600812	0.11488953215236274
8	2010-03-22	002007	0.1016732604097906
9	2010-03-22	600816	0.11151721621215338
0	2010-03-23	600251	0.07991761168089172
1	2010-03-23	000568	0.08789971781297116
2	2010-03-23	600875	0.08147334324291915
3	2010-03-23	002038	0.10122791346471674
4	2010-03-23	600161	0.09855929031833673
5	2010-03-23	601099	0.09544665592196223
6	2010-03-23	600547	0.12739545878389558
7	2010-03-23	600812	0.11488953215236274
8	2010-03-23	002007	0.1016732604097906
9	2010-03-23	600816	0.11151721621215338
0	2010-03-24	600251	0.07991761168089172
1	2010-03-24	000568	0.08789971781297116
2	2010-03-24	600875	0.08147334324291915
3	2010-03-24	002038	0.10122791346471674
4	2010-03-24	600161	0.09855929031833673
5	2010-03-24	601099	0.09544665592196223
6	2010-03-24	600547	0.12739545878389558
7	2010-03-24	600812	0.11488953215236274
8	2010-03-24	002007	0.1016732604097906
9	2010-03-24	600816	0.11151721621215338
0	2010-03-25	600251	0.07991761168089172
1	2010-03-25	000568	0.08789971781297116
2	2010-03-25	600875	0.08147334324291915
3	2010-03-25	002038	0.10122791346471674
4	2010-03-25	600161	0.09855929031833673
5	2010-03-25	601099	0.09544665592196223
6	2010-03-25	600547	0.12739545878389558
7	2010-03-25	600812	0.11488953215236274
8	2010-03-25	002007	0.1016732604097906
9	2010-03-25	600816	0.11151721621215338
0	2010-03-26	600251	0.07991761168089172
1	2010-03-26	000568	0.08789971781297116
2	2010-03-26	600875	0.08147334324291915
3	2010-03-26	002038	0.10122791346471674
4	2010-03-26	600161	0.09855929031833673
5	2010-03-26	601099	0.09544665592196223
6	2010-03-26	600547	0.12739545878389558
7	2010-03-26	600812	0.11488953215236274
8	2010-03-26	002007	0.1016732604097906
9	2010-03-26	600816	0.11151721621215338
0	2010-03-29	600251	0.07991761168089172
1	2010-03-29	000568	0.08789971781297116
2	2010-03-29	600875	0.08147334324291915
3	2010-03-29	002038	0.10122791346471674
4	2010-03-29	600161	0.09855929031833673
5	2010-03-29	601099	0.09544665592196223
6	2010-03-29	600547	0.12739545878389558
7	2010-03-29	600812	0.11488953215236274
8	2010-03-29	002007	0.1016732604097906
9	2010-03-29	600816	0.11151721621215338
0	2010-03-30	600251	0.07991761168089172
1	2010-03-30	000568	0.08789971781297116
2	2010-03-30	600875	0.08147334324291915
3	2010-03-30	002038	0.10122791346471674
4	2010-03-30	600161	0.09855929031833673
5	2010-03-30	601099	0.09544665592196223
6	2010-03-30	600547	0.12739545878389558
7	2010-03-30	600812	0.11488953215236274
8	2010-03-30	002007	0.1016732604097906
9	2010-03-30	600816	0.11151721621215338
0	2010-03-31	600251	0.07991761168089172
1	2010-03-31	000568	0.08789971781297116
2	2010-03-31	600875	0.08147334324291915
3	2010-03-31	002038	0.10122791346471674
4	2010-03-31	600161	0.09855929031833673
5	2010-03-31	601099	0.09544665592196223
6	2010-03-31	600547	0.12739545878389558
7	2010-03-31	600812	0.11488953215236274
8	2010-03-31	002007	0.1016732604097906
9	2010-03-31	600816	0.11151721621215338
0	2010-04-01	600251	0.07991761168089172
1	2010-04-01	000568	0.08789971781297116
2	2010-04-01	600875	0.08147334324291915
3	2010-04-01	002038	0.10122791346471674
4	2010-04-01	600161	0.09855929031833673
5	2010-04-01	601099	0.09544665592196223
6	2010-04-01	600547	0.12739545878389558
7	2010-04-01	600812	0.11488953215236274
8	2010-04-01	002007	0.1016732604097906
9	2010-04-01	600816	0.11151721621215338
1	2010-04-02	000568	0.08425133472941679
3	2010-04-02	002038	0.10463477780957428
2	2010-04-02	600161	0.08105228983948842
0	2010-04-02	600276	0.07587508912650326
8	2010-04-02	600547	0.07910637288081833
6	2010-04-02	600812	0.09596972421015428
9	2010-04-02	600816	0.15101756849194803
4	2010-04-02	600875	0.09131928397765668
7	2010-04-02	601099	0.0735614730427599
5	2010-04-02	601607	0.16321208589168015
0	2010-04-06	600276	0.07587508912650326
1	2010-04-06	000568	0.08425133472941679
2	2010-04-06	600161	0.08105228983948842
3	2010-04-06	002038	0.10463477780957428
4	2010-04-06	600875	0.09131928397765668
5	2010-04-06	601607	0.16321208589168015
6	2010-04-06	600812	0.09596972421015428
7	2010-04-06	601099	0.0735614730427599
8	2010-04-06	600547	0.07910637288081833
9	2010-04-06	600816	0.15101756849194803
0	2010-04-07	600276	0.07587508912650326
1	2010-04-07	000568	0.08425133472941679
